#lambda zeropt sky-mag  
  3300 11.39 20.98
  3350 11.73 20.98
  3400 11.56 20.98
  3450 11.39 20.98
  3500 12.07 20.98
  3550 12.94 20.98
  3600 13.56 20.97
  3650 14.38 20.96
  3700 15.23 20.95
  3750 15.91 20.95
  3777 16.14 20.94
  3782 16.17 20.94
  3800 16.51 20.94
  3814 16.45 20.94
  3822 16.72 20.94
  3850 17.02 20.93
  3860 17.01 20.93
  3866 17.13 20.93
  3900 17.41 20.93
  3905 17.15 20.93
  3911 17.39 20.92
  3947 17.72 20.92
  3950 17.83 20.92
  3953 17.75 20.92
  3996 17.92 20.91
  4000 17.96 20.91
  4050 18.24 20.90
  4075 18.27 20.90
  4140 18.44 20.89
  4150 18.49 20.89
  4200 18.63 20.88
  4220 18.64 20.88
  4222 18.65 20.88
  4250 18.75 20.88
  4270 18.72 20.87
  4390 18.96 20.86
  4400 19.04 20.86
  4445 19.08 20.85
  4450 19.15 20.85
  4490 19.20 20.84
  4500 19.23 20.84
  4550 19.34 20.84
  4565 19.31 20.83
  4600 19.43 20.83
  4650 19.49 20.82
  4700 19.59 20.82
  4750 19.66 20.81
  4760 19.63 20.81
  4800 19.71 20.80
  4950 19.85 20.79
  4960 19.84 20.79
  5000 19.88 20.78
  5050 19.91 20.77
  5100 19.94 20.77
  5150 19.95 20.78
  5200 19.96 20.30
  5205 19.94 20.64
  5250 19.97 20.76
  5300 19.97 20.74
  5350 19.98 20.76
  5375 19.96 20.75
  5400 19.99 20.77
  5450 19.98 20.73
  5460 19.96 20.73
  5500 19.97 20.69
  5550 20.00 20.66
  5600 19.99 20.64
  5650 19.97 20.67
  5700 19.97 20.62
  5750 19.97 20.65
  5800 19.97 20.64
  5850 19.94 20.60
  5900 19.96 20.15
  5920 19.90 20.36
  5950 19.95 20.34
  6000 19.94 20.47
  6050 19.94 20.63
  6100 19.94 20.63
  6150 19.93 20.64
  6200 19.91 20.57
  6202 19.86 20.55
  6250 19.93 20.55
  6300 19.93 16.89
  6350 19.92 20.47
  6400 19.92 20.68
  6450 19.91 20.65
  6470 19.86 20.29
  6700 19.87 20.57
  6750 19.83 20.57
  6850 19.41 20.53
  6900 19.43 20.06
  6950 19.29 20.44
  7000 19.28 20.41
  7040 19.23 20.33
  7050 19.22 20.42
  7085 19.22 20.41
  7100 19.23 20.41
  7150 19.26 20.41
  7200 19.26 20.39
  7250 19.25 20.34
  7260 19.16 20.35
  7300 19.18 20.04
  7350 19.17 20.31
  7400 19.14 20.28
  7550 19.07 20.12
  7600 19.50 19.91
  7650 19.34 20.14
  7690 18.96 20.12
  7700 19.01 20.09
  7750 18.97 20.06
  7800 18.93 20.07
  7850 18.90 18.27
  7900 18.87 20.04
  7950 18.82 19.91
  8000 18.78 19.97
  8050 18.72 19.60
  8100 18.74 19.48
  8102 18.76 19.50
  8150 18.79 19.53
  8200 18.76 19.81
  8250 18.74 19.74
  8300 18.70 18.36
  8350 18.62 19.57
  8400 18.55 19.57
  8450 18.52 19.57
  8480 18.54 19.57
  8500 18.55 19.47
  8550 18.50 19.13
  8560 18.46 19.49
  8590 18.46 19.29
  8600 18.37 19.41
  8610 18.49 19.44
  8650 18.42 19.07
  8680 18.42 19.14
  8700 18.36 19.34
  8740 18.26 19.31
  8750 18.28 19.25
  8760 18.29 18.83
  8800 18.25 19.24
  8850 18.16 19.15
  8876 18.17 19.16
  8900 17.96 19.13
  8950 17.90 19.06
  8960 17.97 19.06
  9040 17.87 18.90
