#lambda zeropt sky-mag  
  6050 14.83 20.63
  6100 15.08 20.63
  6150 15.41 20.64
  6200 15.90 20.57
  6250 16.59 20.55
  6300 17.42 16.89
  6350 18.24 20.47
  6400 18.91 20.68
  6450 19.28 20.65
  6650 19.54 20.62
  6700 19.57 20.57
  6750 19.59 20.57
  6800 19.60 20.50
  6950 19.62 20.44
  7000 19.62 20.41
  7050 19.60 20.42
  7100 19.59 20.41
  7150 19.58 20.41
  7200 19.62 20.39
  7250 19.63 20.34
  7300 19.64 20.04
  7350 19.63 20.31
  7400 19.61 20.28
  7450 19.61 20.25
  7500 19.61 20.17
  7550 19.58 20.12
  7700 19.54 20.09
  7750 19.54 20.06
  7800 19.51 20.07
  7850 19.51 18.27
  7900 19.49 20.04
  7950 19.46 19.91
  8000 19.43 19.97
  8250 19.10 19.74
  8300 19.07 18.36
  8350 19.04 19.57
  8400 19.00 19.57
  8450 18.97 19.57
  8500 18.94 19.47
  8550 18.92 19.13
  8600 18.93 19.41
  8650 18.92 19.07
  8700 18.83 19.34
  8750 18.76 19.25
  8800 18.72 19.24
  8850 18.70 19.15
  8900 18.66 19.13
  8950 18.61 19.06
  9000 18.54 18.99
  9050 18.44 18.44
  9100 18.43 18.72
  9150 18.54 18.77
  9200 18.53 18.21
  9250 18.48 18.21
  9300 18.53 18.27
  9350 18.56 18.50
  9400 18.36 18.12
  9450 18.19 18.08
  9500 17.91 18.25
  9550 17.18 18.21
  9600 16.24 18.32
  9650 15.29 18.28
  9700 14.47 17.57
  9750 13.63 18.20
  9800 13.31 16.92
  9850 13.17 17.65
  9900 12.81 17.67
