# col1     col2        
  220.0    0.00245432  
  230.0    0.0116528   
  240.0    0.0109468   
  250.0    0.0104319   
  260.0    0.0105316   
  270.0    0.0112874   
  280.0    0.0107309   
  290.0    0.0114701   
  300.0    0.01049     
  310.0    0.0107226   
  320.0    0.0105648   
  330.0    0.010515    
  340.0    0.00999169  
  350.0    0.0102907   
  360.0    0.0139867   
  370.0    0.0173256   
  380.0    0.0156894   
  390.0    0.0169767   
  400.0    0.0218355   
  410.0    0.0237126   
  420.0    0.0222259   
  430.0    0.021196    
  440.0    0.0232724   
  450.0    0.0238787   
  460.0    0.0219186   
  470.0    0.0220681   
  480.0    0.0234801   
  490.0    0.0218439   
  500.0    0.024211    
  510.0    0.0318937   
  520.0    0.0357558   
  530.0    0.0326578   
  540.0    0.0290282   
  550.0    0.0292027   
  560.0    0.035407    
  570.0    0.0384302   
  580.0    0.0379319   
  590.0    0.0375831   
  600.0    0.0335548   
  610.0    0.0335631   
  620.0    0.0385465   
  630.0    0.0381811   
  640.0    0.0397841   
  650.0    0.0385714   
  660.0    0.0375332   
  670.0    0.0407309   
  680.0    0.0388704   
  690.0    0.0386711   
  700.0    0.037799    
  710.0    0.0379402   
  720.0    0.0423754   
  730.0    0.0425914   
  740.0    0.0420681   
  750.0    0.041304    
  760.0    0.0396346   
  770.0    0.0396096   
  780.0    0.0400997   
  790.0    0.0399834   
  800.0    0.0412708   
  810.0    0.0417027   
  820.0    0.0421761   
  830.0    0.0388289   
  840.0    0.0384551   
  850.0    0.0416113   
  860.0    0.0420183   
  870.0    0.0428156   
  880.0    0.0430482   
  890.0    0.0432807   
  900.0    0.0430897   
  910.0    0.0414452   
  920.0    0.217442    
  930.0    0.395847    
  940.0    0.624169    
  950.0    0.855482    
  960.0    1.03821     
  970.0    0.759053    
  980.0    0.712209    
  990.0    1.01329     
  1000.0   1.10216     
  1010.0   1.19269     
  1020.0   0.902824    
  1030.0   0.818439    
  1040.0   1.24419     
  1050.0   1.47425     
  1060.0   1.34468     
  1070.0   1.30731     
  1080.0   1.30066     
  1090.0   1.31478     
  1100.0   1.39037     
  1110.0   1.35133     
  1120.0   1.27076     
  1130.0   1.3098      
  1140.0   1.36711     
  1150.0   1.33472     
  1160.0   1.35963     
  1170.0   1.17774     
  1180.0   1.14535     
  1190.0   1.19186     
  1200.0   0.988372    
  1210.0   0.74809     
  1220.0   36.7991     
  1230.0   0.920266    
  1240.0   1.49003     
  1250.0   1.60548     
  1260.0   1.43189     
  1270.0   1.61296     
  1280.0   1.63787     
  1290.0   1.6495      
  1300.0   1.39452     
  1310.0   1.52243     
  1320.0   1.60465     
  1330.0   1.45598     
  1340.0   1.62882     
  1350.0   1.53405     
  1360.0   1.4211      
  1370.0   1.34718     
  1380.0   1.30233     
  1390.0   1.10465     
  1400.0   1.24502     
  1410.0   1.31645     
  1420.0   1.25581     
  1430.0   1.25664     
  1440.0   1.29236     
  1450.0   1.26993     
  1460.0   1.25332     
  1470.0   1.30565     
  1480.0   1.32392     
  1490.0   1.37791     
  1500.0   1.2799      
  1510.0   1.28156     
  1520.0   1.27741     
  1530.0   1.02243     
  1540.0   0.822259    
  1550.0   1.19601     
  1560.0   1.28073     
  1570.0   1.19518     
  1580.0   1.19684     
  1590.0   1.18605     
  1600.0   1.12043     
  1610.0   1.04734     
  1620.0   1.05399     
  1630.0   1.0515      
  1640.0   1.06312     
  1650.0   1.07973     
  1660.0   1.02774     
  1670.0   1.02326     
  1680.0   1.10299     
  1690.0   1.07392     
  1700.0   1.04734     
  1710.0   0.987542    
  1720.0   0.959302    
  1730.0   1.03571     
  1740.0   1.05565     
  1750.0   1.04817     
  1760.0   1.05814     
  1770.0   1.04651     
  1780.0   1.04485     
  1790.0   0.922757    
  1800.0   1.01827     
  1810.0   0.98588     
  1820.0   1.00914     
  1830.0   0.989203    
  1840.0   0.94103     
  1850.0   0.898671    
  1860.0   0.883721    
  1870.0   0.908638    
  1880.0   0.884551    
  1890.0   0.845515    
  1900.0   0.833887    
  1910.0   1.2451      
  1920.0   0.799502    
  1930.0   0.79701     
  1940.0   0.83804     
  1950.0   0.835548    
  1960.0   0.81196     
  1970.0   0.809967    
  1980.0   0.830399    
  1990.0   0.81711     
  2000.0   0.795598    
  2010.0   0.779568    
  2020.0   0.79294     
  2030.0   0.771761    
  2040.0   0.766113    
  2050.0   0.74892     
  2060.0   0.695266    
  2070.0   0.726744    
  2080.0   0.7451      
  2090.0   0.729734    
  2100.0   0.670432    
  2110.0   0.700498    
